PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180459,42180535,42180531,42180485,42180599,42180456,42180507,42180547,,244.0,227.36749267578125,244.86749267578125,261.74249267578125,271.86749267578125,291.11749267578125,307.11999267578125,224.0,49700,1,0,104.02174307767,98.93873774505322,101.52580879829677,96.35166669180968,172.34770062584016,101.39439657338288,98.80732552013934,98.80732552013934,86.53002412535491,39.445340633392334
42180456,42180551,42180528,42180555,42180588,42180583,42180507,42180454,,246.0,230.02525329589844,246.08775329589844,263.5877685546875,271.8377685546875,286.6002685546875,303.87026855468747,234.0,50000,1,0,104.71403638921711,99.27821051039402,101.96620818452956,96.59021283625847,172.78127232448512,101.8845433185175,99.19654564438196,99.19654564438196,86.73888951115192,43.1028425693512
42180468,42180520,42180528,42180485,42180526,42180498,42180465,42180493,,245.90000000000003,229.0145072937012,246.5770034790039,263.1394958496094,273.0769958496094,288.8269958496094,307.83449584960937,251.0,49800,1,0,104.48741411268144,98.61998023390812,101.5391303747148,95.7008300931014,172.28719614412134,101.50729364975192,98.58814350894524,98.58814350894524,85.9033063149217,78.06845903396606
42180547,42180517,42180544,42180485,42180493,42180540,42180507,42180454,,247.70000000000005,232.54849243164065,248.04849243164065,263.3609924316406,271.7984924316406,284.8234924316406,300.3184924316406,245.0,49800,1,0,105.26416983699228,99.52274175349756,102.3343426999406,96.7111408070545,173.07417697923464,102.20068785818624,99.3890869117432,99.3890869117432,86.74031360628507,74.29050207138062
42180456,42180520,42180498,42180531,42180588,42180459,42180507,42180577,,246.2,230.5,246.5,263.25,273.0,287.0,303.7825,216.0,49300,1,0,104.9990969908788,99.86350338676176,102.38736383562576,97.33964293789776,173.17308926907103,102.28948347609494,99.76562302723094,99.76562302723094,87.46416130751706,45.30165791511536
42180459,42180468,42180485,42180465,42180577,42180517,42180528,42180551,,246.9,232.23275756835935,248.04525756835935,264.1077575683594,271.7952575683594,286.7952575683594,301.05025756835937,260.0,49300,1,0,104.74332638029394,98.66234316127716,101.67695959957544,95.64772672297886,172.4139760193526,101.49997583867956,98.48535940038128,98.48535940038128,85.66534185008933,49.75952208042145
42180601,42180520,42180544,42180531,42180454,42180540,42180462,42180493,,238.1,223.54849243164065,238.29849243164065,254.29849243164065,261.5484924316406,276.0484924316406,291.3259924316406,189.0,49500,1,0,101.6665352661996,97.15748218878862,99.38821134735105,94.9267530302262,171.18588084093713,99.26685358517248,97.03612442661006,97.03612442661006,85.34947787328989,5.882380902767181
42180456,42180472,42180485,42180555,42180577,42180583,42180528,42180493,,235.8,219.96875,236.71875,253.28125,261.25625,274.48125,300.97875,238.0,48000,1,0,100.16398649512898,94.4552384372952,97.26465905597988,91.64581781861048,169.2977592391993,97.4998563383014,94.69043571961672,94.69043571961672,82.51644004136094,-16.794072091579437
42180476,42180498,42180485,42180507,42180599,42180459,42180462,42180577,,246.4,230.72174072265625,246.47174072265625,263.72174072265625,272.7592407226563,287.72174072265625,302.72924072265624,254.0,49500,1,0,104.64320783839884,98.68705765059798,101.63763951832412,95.73647578287184,172.38318892538965,101.4823186770884,98.53173680936224,98.53173680936224,85.79561085903086,109.49702262878418
42180551,42180540,42180498,42180555,42180454,42180559,42180465,42180493,,243.0,227.55650329589844,242.61900329589844,259.3690185546875,266.3690185546875,279.1315185546875,297.1265185546875,227.0,50000,1,0,103.37527062006023,97.9791475736876,100.6192379569762,95.339057190399,171.9239494955356,100.5766846533851,97.93659427009648,97.93659427009648,85.64598760404378,31.067487597465515
